Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Passengers,Serious.or.Fatal.Fraction,Aircraft.Destroyed,Make.Model
20220329104857,Accident,ERA22LA172,2022-03-29,"Melbourne, FL",United States,Substantial,Airplane,N5067W,PIPER,PA-28,No,1.0,,Positioning,0.0,1.0,0.0,0.0,VMC,Other,1.0,1.0,False,PIPER PA-28
20220331104864,Accident,CEN22LA162,2022-03-29,"Slidell, LA",United States,Substantial,Airplane,N4299C,PIPER,PA-34-220T,No,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,PIPER PA-34-220T
20220401104869,Accident,GAA22WA138,2022-03-29,"Kleko, ",Poland,Substantial,Airplane,N27ZX,OTHER,AVENTURA II,No,1.0,,Other,1.0,0.0,0.0,0.0,,Other,1.0,1.0,False,OTHER AVENTURA II
20220402104872,Accident,ERA22LA174,2022-03-29,"Mascotte, FL",United States,Substantial,Airplane,N22LV,OTHER,A-22 VALOR,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Other,1.0,1.0,False,OTHER A-22 VALOR
20220405104890,Accident,ERA22LA178,2022-03-29,"Rome, GA",United States,Substantial,Airplane,N808YF,OTHER,300,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,OTHER 300
20220418104953,Accident,CEN22LA177,2022-03-29,"McAllen, TX",United States,Substantial,Airplane,XB-CMU,CESSNA,R182,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Other,3.0,0.0,False,CESSNA R182
20220330104861,Accident,WPR22LA138,2022-03-30,"Tucson, AZ",United States,Substantial,Airplane,N294MV,OTHER,COZY MARK IV,No,1.0,,Personal,0.0,1.0,0.0,0.0,VMC,Other,1.0,1.0,False,OTHER COZY MARK IV
20220331104862,Accident,CEN22LA160,2022-03-30,"Lampasas, TX",United States,Substantial,Airplane,N4738B,CESSNA,180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,CESSNA 180
20220331104868,Accident,GAA22WA137,2022-03-30,"Temixco, ",Mexico,Substantial,Airplane,N426EM,BEECH,C90A,No,2.0,,Other,3.0,0.0,1.0,0.0,,Other,4.0,0.75,False,BEECH C90A
20220404104876,Accident,GAA22WA140,2022-03-30,"Gruehorn, ",Switzerland,Substantial,Airplane,D-FLIC,CESSNA,208,No,,,Other,1.0,0.0,0.0,0.0,,Other,1.0,1.0,False,CESSNA 208
20220404104881,Accident,WPR22LA139,2022-03-30,"Swan Valley, ID",United States,Substantial,Airplane,N35AH,AVIAT,A-1B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,AVIAT A-1B
20221206106420,Incident,GAA22WA310,2022-03-30,"Montevideo, ",Uruguay,Minor,Airplane,LV-MBZ,PIPER,PA60,No,2.0,,Other,0.0,0.0,0.0,1.0,,Other,1.0,0.0,False,PIPER PA60
20220331104866,Accident,CEN22LA164,2022-03-31,"Kerrville, TX",United States,Substantial,Airplane,N21BS,MOONEY,M20E,No,1.0,,Personal,1.0,0.0,0.0,0.0,VMC,Other,1.0,1.0,False,MOONEY M20E
20220411104922,Accident,GAA22WA150,2022-04-01,"Miramar, OF",Argentina,Substantial,Airplane,LV-YOD,PIPER,PA11,No,1.0,,Instructional,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,PIPER PA11
20220404104874,Accident,ERA22LA175,2022-04-02,"Morristown, NJ",United States,Substantial,Airplane,N877W,OTHER,45,No,2.0,,Personal,0.0,4.0,0.0,0.0,VMC,Other,4.0,1.0,False,OTHER 45
20220404104875,Accident,ERA22LA176,2022-04-02,"Gaithersburg, MD",United States,Substantial,Airplane,N123LS,CESSNA,177RG,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Other,1.0,1.0,False,CESSNA 177RG
20220404104877,Accident,ERA22LA177,2022-04-02,"Stoney Point, NC",United States,Substantial,Airplane,N2656V,CESSNA,170,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Other,2.0,0.0,False,CESSNA 170
20220404104879,Accident,GAA22WA142,2022-04-02,"Le Touquet, ",United Kingdom,Substantial,Airplane,G-EGVA,PIPER,PA-28R,No,,,Other,0.0,0.0,0.0,0.0,,Other,0.0,0.0,False,PIPER PA-28R
20220404104884,Accident,WPR22LA141,2022-04-02,"Saline Valley, CA",United States,Substantial,Airplane,N727DF,OTHER,GLASAIR II S-FT,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,OTHER GLASAIR II S-FT
